E,coh
1.8535300000e-02,9.958958e-02
1.8706800000e-02,9.827085e-02
1.8879900000e-02,9.696950e-02
1.9054600000e-02,9.568553e-02
1.9230900000e-02,9.441861e-02
1.9408900000e-02,9.316841e-02
1.9588400000e-02,9.193492e-02
1.9769700000e-02,9.067769e-02
1.9952600000e-02,8.943517e-02
2.0137200000e-02,8.820970e-02
2.0323600000e-02,8.700128e-02
2.0511600000e-02,8.580924e-02
2.0701400000e-02,8.463358e-02
2.0893000000e-02,8.347396e-02
2.1086300000e-02,8.233039e-02
2.1281400000e-02,8.120220e-02
2.1478300000e-02,8.008972e-02
2.1677000000e-02,7.899228e-02
2.1877600000e-02,7.791021e-02
2.2080000000e-02,7.684286e-02
2.2284400000e-02,7.578988e-02
2.2490500000e-02,7.472921e-02
2.2698600000e-02,7.366252e-02
2.2908700000e-02,7.261055e-02
2.3120600000e-02,7.157394e-02
2.3334600000e-02,7.055205e-02
2.3550500000e-02,6.954487e-02
2.3768400000e-02,6.855172e-02
2.3988300000e-02,6.757295e-02
2.4210300000e-02,6.660822e-02
2.4434300000e-02,6.565753e-02
2.4660400000e-02,6.471988e-02
2.4888600000e-02,6.379593e-02
2.5118900000e-02,6.288501e-02
2.5351300000e-02,6.195572e-02
2.5585900000e-02,6.103344e-02
2.5822600000e-02,6.012520e-02
2.6061500000e-02,5.923067e-02
2.6302700000e-02,5.834917e-02
2.6546100000e-02,5.748072e-02
2.6791700000e-02,5.662563e-02
2.7039600000e-02,5.578291e-02
2.7289800000e-02,5.495289e-02
2.7542300000e-02,5.413491e-02
2.7797100000e-02,5.332930e-02
2.8054300000e-02,5.253572e-02
2.8313900000e-02,5.173712e-02
2.8575900000e-02,5.094154e-02
2.8840300000e-02,5.015799e-02
2.9107200000e-02,4.938647e-02
2.9376500000e-02,4.862665e-02
2.9648300000e-02,4.787887e-02
2.9922600000e-02,4.714245e-02
3.0199500000e-02,4.641740e-02
3.0478900000e-02,4.570338e-02
3.0761000000e-02,4.500039e-02
3.1045600000e-02,4.430809e-02
3.1332900000e-02,4.362683e-02
