E_MeV,H_K_cm2g,O_K_cm2g,O_L1_cm2g,O_L2_cm2g,O_L3_cm2g
0.648074,3.402044216241161e-10,9.170606426311055e-06,5.217541344455317e-07,2.2769919475964978e-10,4.335130653665253e-10
0.673537,3.097949274224118e-10,8.349278382789042e-06,4.755978571451482e-07,2.0476262713003442e-10,3.9300433454415427e-10
0.7,2.8268645008230916e-10,7.620258643957368e-06,4.3353024956404527e-07,1.842574102045403e-10,3.5710724687300166e-10
0.748331,2.419584234833828e-10,6.5210467549296795e-06,3.711901898198972e-07,1.5401965827172599e-10,3.035770677412184e-10
0.773735,2.243443173966285e-10,6.040404549761356e-06,3.440068763204419e-07,1.409449691117939e-10,2.8066551662969113e-10
0.8,2.0801388270690363e-10,5.603869697495842e-06,3.191635643198998e-07,1.2914625246884108e-10,2.594840153600389e-10
0.848528,1.8294495245102765e-10,4.919886157858922e-06,2.8037663358732146e-07,1.1088660990235329e-10,2.2710297505857895e-10
0.9,1.6165033936556922e-10,4.338467526416878e-06,2.468774727834094e-07,9.520849456330719e-11,1.9945595665732227e-10
0.948683,1.4532166778064672e-10,3.88255630745102e-06,2.211853068061904e-07,8.353105362153303e-11,1.7805496752631543e-10
1.0,1.311553229911291e-10,3.4841817193311343e-06,1.983327799237158e-07,7.37287106259723e-11,1.5962779430172364e-10
1.022,1.2595553430065685e-10,3.3318128468024255e-06,1.8979316126693636e-07,7.025458337188493e-11,1.5258403045696623e-10
1.03,1.2414307639694804e-10,3.278856790643287e-06,1.8682366352107765e-07,6.905005460291312e-11,1.5018712672405477e-10
1.04881,1.2003626069934418e-10,3.161211140403592e-06,1.801093418087472e-07,6.633334174404923e-11,1.4478997511380138e-10
1.05,1.197834878149248e-10,3.1540301451939347e-06,1.796967484309079e-07,6.616670922950344e-11,1.444583224759785e-10
1.1,1.0998638742217019e-10,2.873083085453074e-06,1.635611792923832e-07,5.986766572369259e-11,1.3148763548699557e-10
1.15,1.016146006346783e-10,2.6280380713175906e-06,1.4973371552751246e-07,5.466274160075414e-11,1.2029010345889012e-10
1.1726,9.815313387356253e-11,2.5292349775896556e-06,1.441337504022536e-07,5.261762149520337e-11,1.1580062593627e-10
1.2,9.426328433101963e-11,2.4181643405384294e-06,1.3775858742362187e-07,5.02895394304002e-11,1.1068916691598665e-10
1.25,8.79133249382555e-11,2.2336575753751783e-06,1.271731723532498e-07,4.662930686073103e-11,1.0220096785204937e-10
1.3,8.221550350944888e-11,2.0733886438277815e-06,1.1811295887580409e-07,4.337291665085648e-11,9.492199534897194e-11
1.32288,7.988322139067769e-11,2.0072925079676266e-06,1.143256991284493e-07,4.205389548354598e-11,9.187801359649468e-11
1.4,7.27943985043544e-11,1.807217952315895e-06,1.0296291168483264e-07,3.806705558530163e-11,8.28237963194321e-11
1.5,6.506870171366452e-11,1.5990856550880148e-06,9.102768038302481e-08,3.387531668519455e-11,7.324154243597011e-11
1.55893,6.117181339619545e-11,1.4978811521513372e-06,8.531550794049113e-08,3.1750429054230215e-11,6.864289006221026e-11
1.62019,5.7507163902545065e-11,1.404325317165997e-06,7.996047581256139e-08,2.975838524509689e-11,6.43320652458842e-11
1.68384,5.406333503153531e-11,1.3180694333052145e-06,7.509184858834592e-08,2.796084429326621e-11,6.041337305989416e-11
1.75,5.0878773827404286e-11,1.239334640393609e-06,7.058644875073879e-08,2.6273219872211456e-11,5.678730197997633e-11
1.87083,4.589079892721164e-11,1.1150109017760626e-06,6.35219546140304e-08,2.3628184196445542e-11,5.110322624153715e-11
2.0,4.1492202564942427e-11,1.006291590536463e-06,5.730519425445719e-08,2.1301558189959383e-11,4.610261705709674e-11
2.044,4.0177501678069554e-11,9.731986223156785e-07,5.541335903893257e-08,2.0593963890224606e-11,4.458091270574791e-11
2.05,4.000363351474166e-11,9.68825223766438e-07,5.516335799714349e-08,2.0504235981273135e-11,4.437982606480159e-11
2.09762,3.8667358456711866e-11,9.35235474678377e-07,5.325628487703195e-08,1.98146672089966e-11,4.2845874471406963e-11
2.1,3.8602543995630395e-11,9.336072734855369e-07,5.316687552674665e-08,1.9781222641206894e-11,4.277395700977697e-11
2.2,3.607299443340132e-11,8.714348571670506e-07,4.962538515274101e-08,1.8457166086938397e-11,3.9925336781094885e-11
