E_MeV,H_K_cm2g,O_K_cm2g,O_L1_cm2g,O_L2_cm2g,O_L3_cm2g
0.0175,4.431319645595077e-05,0.7910304044177331,0.043941647532858244,0.00018799001194125275,0.00036201398832023436
0.02,2.794951388749974e-05,0.5142674675761344,0.028692056589505084,0.00010850467835374003,0.0002084788110672365
0.022,2.0114447721540547e-05,0.37819157312972146,0.021110291911375423,7.329632622048174e-05,0.00014052173307950834
0.025,1.2938704319561866e-05,0.24965992258819997,0.013987859242233456,4.330928191673392e-05,8.263581014656408e-05
0.0273861,9.445968431365694e-06,0.18560025389172344,0.010406819080609976,2.9748906675585133e-05,5.659030078181383e-05
0.0286633,8.070885039318122e-06,0.16002597210396413,0.008974148709371924,2.4653381982768952e-05,4.6830091411756146e-05
0.03,6.896008260767124e-06,0.13792081433193765,0.0077387630458362906,2.0430826051145532e-05,3.8753588402774265e-05
0.035,4.0514583959467135e-06,0.08322025928496193,0.004685836778444121,1.0822970153426851e-05,2.0429958608995812e-05
0.0374166,3.218492562243385e-06,0.06686537533406511,0.0037657226892444835,8.219229319877464e-06,1.5482462068097386e-05
0.04,2.556790591302437e-06,0.053724884937102514,0.003026296645876316,6.241898549138284e-06,1.1733157722578905e-05
0.045,1.7035569376648595e-06,0.03646379075865789,0.0020579238649932204,3.84545928755056e-06,7.193966942805418e-06
0.05,1.1847211997713158e-06,0.025761679193019794,0.0014561899898459434,2.4976077211736057e-06,4.6480873052227184e-06
0.055,8.529483981347613e-07,0.018813937047236905,0.0010637339089429037,1.6903609537777601e-06,3.1361109140604272e-06
0.06,6.319083896917305e-07,0.014119980293153934,0.000798588772877348,1.1863745536236974e-06,2.1897115607684355e-06
0.0648074,4.85055526521626e-07,0.010947289566392064,0.0006194861975485916,8.672616867325064e-07,1.5936675826850068e-06
0.07,3.7244721535656915e-07,0.00848748094374984,0.00048055129263233754,6.342636674946701e-07,1.1620400354476382e-06
0.08,2.3566923206571905e-07,0.005461249525311488,0.00030950074217322337,3.704401099655908e-07,6.730982540276667e-07
0.09,1.5739193015584898e-07,0.0037015933073743933,0.00020995146765021743,2.3130373003607544e-07,4.173028533451897e-07
0.1,1.0989192264136008e-07,0.002613963590529014,0.00014842346812215328,1.520855338605817e-07,2.730729435293133e-07
0.11,7.947206526363061e-08,0.0019081949879469868,0.00010849971166375765,1.0446146847011991e-07,1.8628324225364487e-07
0.11726,6.394871117265264e-08,0.0015458794704243963,8.793865817223202e-05,8.128468173735593e-08,1.4457826249251015e-07
0.125,5.154659556971722e-08,0.001253538565091073,7.12724118803007e-05,6.338019820697505e-08,1.122071876053884e-07
0.14,3.520088587228947e-08,0.0008644297070960528,4.9217853036204336e-05,4.0905447487334915e-08,7.199418625433825e-08
0.15,2.7929951695921237e-08,0.0006903438908459427,3.931736382321618e-05,3.138803192781611e-08,5.507484620702149e-08
0.162019,2.160205374981557e-08,0.0005376905196932717,3.0605353646982754e-05,2.3442016757756635e-08,4.090925769118953e-08
0.175,1.6708164059107417e-08,0.0004189247861953594,2.3887496965352632e-05,1.753683990819672e-08,3.050857686953688e-08
0.187083,1.341231701138568e-08,0.0003383360401263359,1.9272373495712542e-05,1.3680320237900428e-08,2.37034150945409e-08
0.2,1.0768861184482711e-08,0.00027325138495583453,1.5571024122520595e-05,1.0688937281163308e-08,1.847773260025352e-08
0.22,7.901677698684962e-09,0.00020199188154241122,1.150295053345132e-05,7.545852531801421e-09,1.3017536209768458e-08
0.234521,6.4247583653074e-09,0.00016510037014669184,9.405764318035636e-06,5.996471437083686e-09,1.0329278673851835e-08
0.25,5.238644084227003e-09,0.00013524810292755453,7.702375754583671e-06,4.771094258309131e-09,8.213925252693715e-09
0.273861,3.923011619294635e-09,0.00010197456598405027,5.809903146944279e-06,3.460080037207726e-09,5.962047704874781e-09
0.286633,3.4023789559130126e-09,8.876033540631966e-05,5.051576577436829e-06,2.9553294394927476e-09,5.0955725821331684e-09
0.3,2.950855748341184e-09,7.725894601380589e-05,4.396529743450836e-06,2.524224610302873e-09,4.356927039857338e-09
0.324037,2.3300854268539053e-09,6.127443480166778e-05,3.486360379150263e-06,1.9441490860726826e-09,3.3629170665133925e-09
0.336768,2.070991305086734e-09,5.461800277307508e-05,3.1079137857517865e-06,1.7073439827658254e-09,2.9595920052946813e-09
0.35,1.8448653861662495e-09,4.871484967442519e-05,2.7743365807668473e-06,1.5031405236461032e-09,2.6094382715343303e-09
0.374166,1.5111057921700527e-09,4.0093198067648936e-05,2.2818194327966265e-06,1.2061194232541664e-09,2.1052757639437045e-09
0.386867,1.3704564185950455e-09,3.638832837807393e-05,2.0727928846357697e-06,1.0828619496394695e-09,1.8929781964999338e-09
0.4,1.24329291943222e-09,3.3091028620016607e-05,1.8829035885367937e-06,9.721945843567099e-10,1.7062036227489054e-09
0.424264,1.0493363719050358e-09,2.7985839754266226e-05,1.5939258952120574e-06,8.055319802454839e-10,1.422145258824222e-09
0.45,8.87631121915259e-10,2.376176383686805e-05,1.3517679312794312e-06,6.68895487862297e-10,1.1914799182880047e-09
0.474342,7.672844902962909e-10,2.0555244237492568e-05,1.1703609430833713e-06,5.685642144227056e-10,1.0203743545645141e-09
0.5,6.639714465093768e-10,1.783273524853197e-05,1.0149347560415936e-06,4.838300994586995e-10,8.757826859723285e-10
